# Ruleset Queue Name,Friendly Name,Overwatch Version,Season Number

# No Limits
Arcade - No Limits - Ranked Season 1,No Limits,1,1
Arcade - No Limits - Ranked Season 2,No Limits,1,2

# Lucio Ball
Arcade - Soccer - Ranked Season 1,Lúcio Ball,1,1
Arcade - Soccer - Ranked Season 2,Lúcio Ball,1,2
Arcade - Soccer - Ranked Season 3,Lúcio Ball,1,3
Arcade - Soccer - Ranked Season 4,Lúcio Ball,1,4
Arcade - Soccer - Ranked Season 5,Lúcio Ball,1,5

# CTF
Arcade - CTF - Ranked Season 1,CTF,1,1
Arcade - CTF - Ranked Season 2,CTF,1,2
Arcade - CTF - Ranked Season 3,CTF,1,3
Arcade - CTF - Ranked Season 4,CTF,1,4
Arcade - CTF - Ranked Season 5,CTF,1,5
Competitive CTF OW2 Season 1,CTF,2,1

# Deathmatch
Arcade - Deathmatch - Ranked Season 1,Deathmatch,1,1
Arcade - Deathmatch - Ranked Season 2,Deathmatch,1,2
Arcade - Deathmatch - Ranked Season 3,Deathmatch,1,3
Arcade - Deathmatch - Ranked Season 4,Deathmatch,1,4
Arcade - Deathmatch - Ranked Season 5,Deathmatch,1,5
Competitive Deathmatch OW2 Season 1,Deathmatch,2,1
Arcade - Team Deathmatch - Ranked Season 1,Team Deathmatch,1,1
Arcade - Team Deathmatch - Ranked Season 2,Team Deathmatch,1,2
Arcade - Team Deathmatch - Ranked Season 3,Team Deathmatch,1,3
Arcade - Team Deathmatch - Ranked Season 4,Team Deathmatch,1,4

# Elimination
Arcade - Elimination Lockout 3v3 - Ranked Season 1 Groups,3v3 Elimination,1,1
Arcade - Elimination Lockout 3v3 - Ranked Season 2,3v3 Elimination,1,2
Arcade - Elimination Lockout 3v3 - Ranked Season 3,3v3 Elimination,1,3
Arcade - Elimination Lockout 3v3 - Ranked Season 4,3v3 Elimination,1,4
Arcade - Elimination Lockout 6v6 - Ranked Season 1,6v6 Elimination,1,1
Arcade - Elimination Lockout 6v6 - Ranked Season 2,6v6 Elimination,1,2
Arcade - Elimination Lockout 6v6 - Ranked Season 3,6v6 Elimination,1,3
Arcade - Elimination Lockout 6v6 - Ranked Season 4,6v6 Elimination,1,4
Arcade - Elimination Lockout 6v6 - Ranked Season 5,6v6 Elimination,1,5

# Mystery Heroes
Competitive Mystery Heroes OW2 Season 1,Mystery Heroes,2,1

# Main Competitive
Ranked - Season 03 - Winter 2016,Open Queue,1,3
Ranked - Season 04 - Spring 2017,Open Queue,1,4
Ranked - Season 05 - Summer 2017,Open Queue,1,5
Ranked - Season 06 - SeptOct 2017,Open Queue,1,6
