#Stat Context Type,Stat Context Name,Friendly Name,Overwatch Version,Season Number,Type
# Unranked
Unranked,,Unranked,,,Unranked
VS AI,,vs AI,,,
Unknown,,Unknown,,,
Ruleset,Quick Play Open Queue,Unranked Open Queue,,,Unranked
Ruleset,Experimental,Experimental,,,Experimental

# Arcade
Ruleset,CTF,CTF,,,Arcade
Ruleset,Elimination,Elimination,,,Arcade
Ruleset,Mystery Heroes,Mystery Heroes,,,Arcade
Ruleset,Team Deathmatch,Team Deathmatch,,,Arcade
Ruleset,Deathmatch,Deathmatch,,,Arcade
Ruleset,Mystery Deathmatch,Mystery Deathmatch,,,Arcade
Ruleset,Hero Gauntlet Deathmatch,Hero Gauntlet Deathmatch,,,Arcade
Ruleset,Mirrored Deathmatch,Mirrored Deathmatch,,,Arcade
Ruleset,Quick Play Classic,Open Queue,,,Arcade
Ruleset,No Limits,No Limits,,,Arcade
Ruleset,Total Mayhem,Total Mayhem,,,Arcade
Ruleset,LucioBaller,Lúcio Ball,,,Arcade
Ruleset,LucioBall,Lúcio Ball,,,Arcade
Ruleset,Battle for Olympus,Battle for Olympus,,,Arcade
Ruleset,Winter 2020 Freeze,Freeze-Thaw Elimination,,,Arcade
Ruleset,Yeti Hunter,Yeti Hunter,,,Arcade
Ruleset,Duel,1v1,,,Arcade
Ruleset,Retribution All Heroes,Retribution All Heroes,,,Arcade
Ruleset,Uprising All Heroes,Uprising All Heroes,,,Arcade
Ruleset,Halloween,Junkensteins Revenge,,,Arcade
Ruleset,Halloween Endless,Junkensteins Revenge Endless,,,Arcade
Ruleset,Wrath of the Bride,Wrath of the Bride,,,Arcade

# Ranked Arcade
Ruleset,CTF - Ranked Season 1,Competitive CTF,1,1,Arcade
Ruleset,CTF - Ranked Season 2,Competitive CTF,1,2,Arcade
Ruleset,CTF - Ranked Season 3,Competitive CTF,1,3,Arcade
Ruleset,CTF - Ranked Season 4,Competitive CTF,1,4,Arcade

Ruleset,Elimination 6v6 Lockout - Ranked Season 1,Competitive 6v6 Elimination,1,1,Arcade
